,순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,영화코드,영화명(영어),제작년도,영화유형,제작상태,제작국가,영화장르,대표국가,대표 장르,디렉터,제작사,평점
130,131,엣지 오브 투모로우,20140604,"38,786,998,201","4,706,213",801,"95,776",20148807,Edge of Tomorrow,2014,장편,개봉,미국,"액션,SF",미국,액션,더그 라이만,,8.74
131,132,신세계,20130221,"34,927,253,285","4,689,828",671,"91,743",20124401,New World,2012,장편,개봉,한국,"범죄,액션",한국,범죄,박훈정,(주)사나이픽처스,8.94
132,133,더 퍼스트 슬램덩크,20230104,"48,900,213,258","4,679,580","1,060","226,208",20228555,The First Slam Dunk,2022,장편,개봉,일본,애니메이션,일본,애니메이션,이노우에 다케히코,,
133,134,신비한 동물사전,20161116,"39,365,960,288","4,669,702","1,431","116,374",20162365,Fantastic Beasts and Where to Find Them,2016,장편,개봉,"미국,영국","어드벤처,가족,판타지",미국,어드벤처,데이빗 예이츠,,6.78
134,135,도가니,20110922,"35,567,476,000","4,662,926",756,"88,345",20112534,Silenced,2011,장편,개봉,한국,드라마,한국,드라마,황동혁,(주)삼거리픽쳐스,9.27
135,136,쿵푸 팬더,20080605,"29,998,150,000","4,654,266",563,"79,902",20080653,Kung Fu Panda,2008,장편,개봉,미국,"애니메이션,코미디,액션,가족",미국,애니메이션,마크 오스본,,8.78
136,137,내 아내의 모든 것,20120517,"34,224,467,500","4,598,985",563,"91,777",20113554,All About My Wife,2012,장편,개봉,한국,"코미디,멜로/로맨스",한국,코미디,민규동,(주)수필름,
137,138,스파이더맨 3,20070501,"29,511,658,000","4,592,309",806,"79,966",20070056,Spider-Man 3,,장편,개봉,미국,"액션,SF",미국,액션,샘 레이미,콜럼비아 픽쳐스 코포레이션,7.47
138,139,판도라,20161207,"36,069,197,064","4,585,116","1,184","100,273",20144641,Pandora,2016,장편,개봉,한국,"드라마,스릴러",한국,드라마,박정우,(주)씨에이씨엔터테인먼트,8.78
139,140,맘마미아!,20080903,"29,697,221,850","4,579,773",451,"111,827",20081169,Mamma Mia!,2008,장편,개봉,미국,"멜로/로맨스,뮤지컬",미국,멜로/로맨스,필리다 로이드,,9.08
140,141,나쁜 녀석들: 더 무비,20190911,"39,560,195,124","4,573,902","1,511","113,938",20188750,The Bad Guys: Reign of Chaos,2019,장편,개봉,한국,"범죄,액션",한국,범죄,손용호,(주)씨제이이엔엠,8.15
141,142,캐리비안의 해적: 세상의 끝에서,20070523,"29,133,447,500","4,571,229",953,"78,007",20070057,Pirates Of The Caribbean: At Worlds End,2007,장편,개봉,미국,"액션,코미디,어드벤처,판타지",미국,액션,고어 버빈스키,제리 브룩하이머 필름,
142,143,가문의 위기(가문의 영광2),20050907,"28,622,355,500","4,529,876",351,"61,009",20050219,Marrying the Mafia 2: Enemy-in-Law,2005,장편,개봉,한국,코미디,한국,코미디,정용기,(주)태원엔터테인먼트,
143,144,연가시,20120705,"32,176,550,664","4,516,063",759,"71,932",20124062,Deranged,2012,장편,개봉,한국,"공포(호러),SF",한국,공포(호러),박정우,(주)오죤필름,7.16
144,145,터미네이터 : 미래전쟁의 시작,20090521,"29,690,943,500","4,499,776",702,"93,745",20090238,Terminator Salvation: The Future Begins,2009,장편,개봉,미국,"SF,액션",미국,SF,맥지,더 할사이온 컴퍼니,8.19
145,146,강철비,20171214,"35,490,646,466","4,452,900","1,426","80,360",20170402,Steel Rain,2017,장편,개봉,한국,"액션,드라마",한국,액션,양우석,(주)와이웍스엔터테인먼트,7.91
146,147,아이언맨 2,20100429,"32,637,290,500","4,425,235",921,"87,672",20090933,Iron Man 2,2010,장편,개봉,미국,"SF,액션,어드벤처",미국,SF,존 파브로,파라마운트 픽쳐스,7.37
147,148,해리포터와 죽음의 성물2,20110713,"34,668,545,500","4,421,210",757,"70,853",20111009,Harry Potter and the Deathly Hallows: Part 2,2011,장편,개봉,미국,"판타지,미스터리",미국,판타지,데이빗 예이츠,,9.33
148,149,다만 악에서 구하소서,20200805,"38,602,897,990","4,357,873","1,998","193,850",20197922,DELIVER US FROM EVIL,2019,장편,개봉,한국,"범죄,액션",한국,범죄,홍원찬,(주)하이브미디어코프,8.54
149,150,헌트,20220810,"44,601,068,153","4,352,420","1,625","170,964",20211792,HUNT,2022,장편,개봉,한국,"액션,드라마",한국,액션,이정재,(주)아티스트스튜디오,8.46
150,151,엑스맨: 데이즈 오브 퓨처 패스트,20140522,"34,654,558,766","4,313,871","1,056","82,722",20147669,X-Men: Days of Future Past,2014,장편,개봉,미국,"액션,판타지,SF,어드벤처",미국,액션,브라이언 싱어,,8.76
151,152,강철중: 공공의 적 1-1,20080619,"28,638,465,100","4,313,102",707,"74,158",20080736,Public Enemy Returns,2008,장편,개봉,한국,"드라마,액션",한국,드라마,강우석,(주)시네마서비스글로벌,8.53
152,153,아이언맨,20080430,"27,880,712,500","4,300,365",592,"78,269",20080396,Iron Man,2008,장편,개봉,미국,"SF,드라마,액션",미국,SF,존 파브로,,
153,154,아가씨,20160601,"35,221,312,991","4,289,008","1,171","90,393",20144444,The Handmaiden,2016,장편,개봉,한국,"스릴러,드라마",한국,스릴러,박찬욱,유한회사 아가씨에프에스,7.69
154,155,박물관이 살아있다!,20061221,"24,401,542,200","4,245,247",345,"56,526",20060319,Night At The Museum,2006,장편,개봉,미국,"코미디,어드벤처",미국,코미디,숀 레비,이십세기폭스필름코퍼레이션,8.02
155,156,다크 나이트,20080806,"28,208,421,040","4,228,360",462,"72,855",20081056,The Dark Knight,2008,장편,개봉,미국,"범죄,드라마,액션,미스터리",미국,범죄,크리스토퍼 놀란,,9.65
156,157,말아톤,20050127,"26,285,057,000","4,196,859",238,"59,495",20040785,Marathon,2005,장편,개봉,한국,드라마,한국,드라마,정윤철,시네라인투(주),9.24
157,158,어메이징 스파이더맨 2,20140423,"34,869,101,800","4,168,353","1,312","91,715",20135661,The Amazing Spider-Man 2,2014,장편,개봉,미국,"액션,판타지",미국,액션,마크 웹,,8.06
158,159,용의자,20131224,"30,037,521,000","4,131,338",807,"69,124",20124938,The Suspect,2013,장편,개봉,한국,"액션,스릴러",한국,액션,원신연,(주)그린피쉬,8.27
159,160,건축학개론,20120322,"30,245,742,400","4,114,167",593,"106,701",20124074,Architecture 101,2012,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,이용주,(주)명필름,8.68
160,161,인디아나 존스 4 : 크리스탈 해골의 왕국,20080522,"26,689,440,000","4,111,753",771,"75,393",20070675,Indiana Jones And The Kingdom Of The Crystal Skull,2008,장편,개봉,미국,"액션,어드벤처",미국,액션,스티븐 스필버그,,
161,162,미이라 3:황제의 무덤,20080730,"26,217,311,000","4,090,885",634,"64,779",20080996,The Mummy 3:Tomb Of The Dragon Emperor,2008,장편,개봉,미국,"액션,어드벤처,판타지",미국,액션,롭 코헨,,5.65
162,163,가디언즈 오브 갤럭시: Volume 3,20230503,"42,958,684,881","4,074,267","1,819","146,075",20231496,Guardians of the Galaxy Volume 3,2023,장편,개봉,미국,액션,미국,액션,제임스 건,,
163,164,댄싱퀸,20120118,"30,130,775,500","4,058,225",544,"80,987",20113743,Dancing Queen,2011,장편,개봉,한국,"코미디,드라마",한국,코미디,이석훈,(주)제이케이필름,
164,165,7급 공무원,20090422,"26,380,710,000","4,039,891",475,"90,779",20081737,My Girlfriend Is an Agent,2008,장편,개봉,한국,"코미디,액션,드라마,범죄",한국,코미디,신태라,(주)하리마오픽쳐스,8.28
165,166,우리 생애 최고의 순간,20080110,"26,119,898,000","4,018,872",418,"70,724",20070382,Forever The Moment,2007,장편,개봉,한국,드라마,한국,드라마,임순례,(주)엠케이픽처스 ,8.57
166,167,꾼,20171122,"31,313,568,795","4,018,341","1,314","117,419",20165748,The Swindlers,2017,장편,개봉,한국,범죄,한국,범죄,장창원,(주)영화사두둥,8.32
167,168,타짜-신의 손,20140903,"32,373,120,927","4,015,361",890,"80,584",20134804,Tazza-The Hidden Card,2014,장편,개봉,한국,드라마,한국,드라마,강형철,(주)싸이더스,7.76
168,169,혹성탈출: 반격의 서막,20140710,"31,514,053,095","4,002,560",956,"72,881",20148973,Dawn of the Planet of the Apes,2014,장편,개봉,미국,"액션,드라마,SF,스릴러",미국,액션,맷 리브스,,8.43
169,170,쿵푸팬더3,20160128,"31,340,813,156","3,984,814","1,365","97,405",20151803,Kung Fu Panda 3,2015,장편,개봉,미국,"애니메이션,액션,어드벤처",미국,애니메이션,여인영,드림웍스 애니메이션,8.78
170,171,캡틴 아메리카: 윈터 솔져,20140326,"31,728,426,385","3,964,965","1,106","110,158",20147790,Captain America: The Winter Soldier,2014,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,조 루소,,8.83
171,172,매드 맥스: 분노의 도로,20150514,"33,794,137,362","3,920,851",799,"103,728",20144741,Mad Max: Fury Road,2015,장편,개봉,"미국,호주","액션,어드벤처,스릴러",미국,액션,조지 밀러,,8.87
172,173,캐리비안의 해적 : 망자의 함,20060706,"23,832,939,000","3,911,617",456,"49,648",20060146,Pirates Of The Caribbean: Dead Man`S Chest,2006,장편,개봉,미국,"액션,코미디,어드벤처,판타지",미국,액션,고어 버빈스키,월트 디즈니 픽쳐스,
173,174,박수건달,20130109,"28,379,548,569","3,897,969",603,"60,604",20124935,Man on the Edge,2012,장편,개봉,한국,코미디,한국,코미디,조진규,주식회사 제이앤피,8.12
174,175,베놈,20181003,"34,100,211,207","3,888,096","1,308","116,149",20177221,Venom,2018,장편,개봉,미국,"액션,SF,스릴러",미국,액션,루벤 플레셔,,8.24
175,176,조선명탐정 : 사라진 놉의 딸,20150211,"30,456,879,428","3,872,015",825,"80,499",20149570,Detective K : Secret of the Lost Island,2014,장편,개봉,한국,"사극,코미디,어드벤처",한국,사극,김석윤,청년필름(주),8.07
176,177,너의 이름은.,20170104,"31,283,693,208","3,862,662",947,"91,884",20161872,your name.,2016,장편,개봉,일본,"애니메이션,드라마,멜로/로맨스",일본,애니메이션,신카이 마코토,,
177,178,역린,20140430,"29,895,031,890","3,849,700","1,054","83,304",20139183,The Fatal Encounter,2014,장편,개봉,한국,사극,한국,사극,이재규,굿초이스컷픽쳐스(주),
178,179,남한산성,20171003,"31,225,419,792","3,849,129","1,229","71,102",20165450,The Fortress,2017,장편,개봉,한국,"사극,드라마",한국,사극,황동혁,(주)싸이런픽쳐스,8.17
179,180,반도,20200715,"33,078,694,380","3,812,954","2,575","199,267",20193450,Peninsula,2020,장편,개봉,한국,"액션,드라마",한국,액션,연상호,(주)영화사레드피터,7.16
180,181,암수살인,20181003,"32,998,321,048","3,789,553","1,177","126,129",20179189,Dark Figure of Crime,2017,장편,개봉,한국,"범죄,드라마",한국,범죄,김태균,(주)필름295,8.58
181,182,데드풀 2,20180516,"34,185,664,639","3,784,602","1,576","113,288",20176848,DEADPOOL 2,2018,장편,개봉,미국,"액션,어드벤처,코미디,SF",미국,액션,데이빗 레이치,,9.09
182,183,라라랜드,20161207,"31,117,121,478","3,771,168",727,"115,288",20167904,LA LA LAND,2016,장편,개봉,미국,"드라마,뮤지컬,멜로/로맨스",미국,드라마,데이미언 셔젤,,8.91
183,184,국가부도의 날,20181128,"30,895,057,837","3,755,469","1,180","101,172",20177552,Default,2018,장편,개봉,한국,드라마,한국,드라마,최국희,영화사 집,
184,185,쌍화점,20081230,"25,411,823,400","3,749,034",532,"72,498",20081716,A Frozen Flower,2008,장편,개봉,한국,드라마,한국,드라마,유하,오퍼스픽쳐스(유),
185,186,신기전,20080904,"24,326,406,000","3,728,439",585,"78,464",20081001,The Divine Weapon,2008,장편,개봉,한국,"사극,드라마,액션,전쟁",한국,사극,김유진,(주)시네마서비스글로벌,8.28
186,187,해리 포터와 불사조 기사단,20070711,"23,010,956,770","3,702,538",768,"53,631",20070063,Harry Potter And The Order Of The Phoenix,2007,장편,개봉,미국,"판타지,액션,어드벤처",미국,판타지,데이빗 예이츠,워너 브러더스 픽쳐스,8.63
187,188,미이라,20170606,"30,504,689,978","3,689,325","1,257","105,228",20166488,The Mummy,2017,장편,개봉,미국,"액션,어드벤처,판타지",미국,액션,알렉스 커츠먼,,7.49
188,189,82년생 김지영,20191023,"30,306,859,310","3,679,162","1,486","145,464",20191029,"KIM JI-YOUNG, BORN 1982 ",2019,장편,개봉,한국,드라마,한국,드라마,김도영,(주)봄바람영화사,9.12
189,190,분노의 질주: 더 익스트림,20170412,"30,044,577,348","3,659,683","1,469","114,213",20167542,The Fast and The Furious 8,2017,장편,개봉,"미국,일본,프랑스,캐나다","액션,범죄,스릴러",미국,액션,F. 게리 그레이,,9.18
190,191,분노의 질주: 홉스&쇼,20190814,"32,242,734,793","3,657,627","1,311","94,904",20196850,Fast & Furious Presents: Hobbs & Shaw,2019,장편,개봉,미국,액션,미국,액션,데이빗 레이치,,
191,192,모가디슈,20210728,"34,603,488,626","3,619,454","1,688","212,057",20204117,Escape from Mogadishu,2021,장편,개봉,한국,"액션,드라마",한국,액션,류승완,(주)덱스터스튜디오,8.66
192,193,인턴,20150924,"28,522,202,348","3,611,166",659,"81,589",20152022,The Intern,2015,장편,개봉,미국,코미디,미국,코미디,낸시 마이어스,,9.04
193,194,귀향,20160224,"27,250,331,990","3,587,256",876,"90,290",20161364,Spirits' Homecoming,2015,장편,개봉,한국,드라마,한국,드라마,조정래,주식회사 제이오엔터테인먼트코리아,
194,195,리얼 스틸,20111012,"26,566,677,000","3,579,666",603,"87,650",20112173,Real Steel,2010,장편,개봉,미국,"액션,드라마,SF",미국,액션,숀 레비,,9.06
195,196,신의 한 수,20140703,"28,812,027,456","3,566,852",794,"77,110",20139201,The Divine Move,2014,장편,개봉,한국,"범죄,액션",한국,범죄,조범구,(주)메이스엔터테인먼트,8.66
196,197,코코,20180111,"27,766,173,140","3,516,880","1,177","86,072",20179985,COCO,2017,장편,개봉,미국,애니메이션,미국,애니메이션,리 언크리치,,9.20
197,198,해리 포터와 불의 잔,20051201,"22,097,731,900","3,499,257",504,"45,555",20050310,Harry Potter and the Goblet of Fire,2005,장편,개봉,미국,"액션,판타지",미국,액션,마이크 뉴웰,워너 브러더스 픽쳐스,9.41
198,199,비긴 어게인,20140813,"27,433,947,031","3,479,444",525,"87,565",20149629,Begin Again,2013,장편,개봉,미국,멜로/로맨스,미국,멜로/로맨스,존 카니,,9.13
199,200,태풍,20051214,"22,209,675,300","3,471,150",481,"47,155",20050326,Typhoon,2005,장편,개봉,한국,"드라마,액션",한국,드라마,곽경택,CJ ENM,6.13
